"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","who"
0.857,0.0959,0.33,0.163,0,0.788,0.626,"me"
0.654,0.157,0.105,0.436,0.0000127,0.913,0.916,"me"
0.777,0.111,0.153,0.278,0.000135,0.603,0.429,"me"
0.579,0.111,0.211,0.194,0.000151,0.539,0.295,"me"
0.7,0.105,0.264,0.598,0,0.589,0.456,"me"
0.797,0.131,0.0552,0.0552,0.259,0.451,0.828,"me"
0.7,0.313,0.224,0.246,0.0309,0.814,0.436,"me"
0.836,0.0532,0.0695,0.0816,0.00138,0.843,0.65,"me"
0.623,0.145,0.229,0.139,0.00000491,0.874,0.627,"me"
0.725,0.117,0.0332,0.521,0.000909,0.754,0.828,"me"
0.68,0.0875,0.0848,0.131,0.0000177,0.885,0.78,"me"
0.845,0.0529,0.0763,0.0126,0.00204,0.874,0.71,"me"
0.475,0.235,0.029,0.135,0.0000041,0.615,0.378,"her"
0.62,0.175,0.103,0.363,0.00000237,0.773,0.624,"her"
0.622,0.127,0.0242,0.0108,0.00000451,0.511,0.425,"her"
0.702,0.0788,0.12,0.591,0.000538,0.945,0.678,"her"
0.443,0.101,0.0451,0.3,0.00000695,0.571,0.621,"her"
0.737,0.0699,0.0582,0.000105,0.762,0.34,0.499,"her"
0.474,0.338,0.0391,0.443,0.0553,0.705,0.756,"her"
0.562,0.101,0.0601,0.54,0.00143,0.657,0.704,"her"
0.631,0.152,0.0471,0.585,0.0000166,0.66,0.535,"her"
0.746,0.124,0.048,0.137,0,0.724,0.776,"her"
0.596,0.0915,0.0338,0.234,0.0000634,0.699,0.717,"her"
0.282,0.16,0.0275,0.601,0,0.526,0.375,"her"
0.574,0.108,0.0281,0.297,0.0000104,0.538,0.631,"her"
0.708,0.0996,0.0353,0.0583,0,0.425,0.701,"her"
0.782,0.159,0.0354,0.361,0.0000138,0.595,0.576,"her"
0.588,0.194,0.0272,0.187,0.00202,0.631,0.72,"her"
0.662,0.0923,0.0527,0.129,0.00000857,0.845,0.682,"her"
0.555,0.2,0.198,0.377,0,0.595,0.742,"her"
0.845,0.294,0.3,0.154,0,0.657,0.706,"her"
